Gen,Counter,Points
0,0,0
0,1200,45
1,1200,44
2,1200,32
3,1200,36
4,1200,12
5,1200,44
6,1200,44
7,1200,40
8,1200,40
9,1200,40
10,1200,38
11,1200,40
12,1200,49
13,1200,25
14,238,11
15,238,11
16,1200,25
17,158,7
18,558,24
19,238,11
20,238,11
21,238,11
22,238,11
23,111,7
24,238,11
25,1200,24
