Gen,Counter,Points,Num Alive
0,800,68,3
1,800,86,6
2,800,60,5
3,800,56,4
4,800,54,2
5,800,69,5
6,800,69,5
7,800,5,1
8,800,69,5
9,800,91,7
10,800,55,3
11,800,84,6
12,800,84,6
13,800,106,7
14,800,106,7
15,800,105,7
16,800,98,6
17,800,84,6
18,800,63,5
19,800,33,2
20,800,69,3
21,800,106,6
22,800,110,8
23,800,116,8
24,800,110,8
25,800,116,8
