Gen,Counter,Points
0,0,0
0,186,11
1,186,11
2,186,11
3,1200,37
4,224,13
5,170,7
6,1200,49
7,1200,47
8,163,10
9,163,10
10,224,14
11,1200,49
12,1200,49
13,245,14
14,224,14
15,1200,49
16,245,14
17,1200,49
18,163,10
19,1200,49
20,1200,52
21,245,14
22,245,14
23,1200,59
24,245,14
Hu,1200,24
