Gen,Counter,Points,Num Alive
0,800,52,3
1,800,52,3
2,800,52,3
3,800,70,5
4,800,69,4
5,800,69,4
6,800,82,6
7,800,80,5
8,800,84,5
9,800,84,5
10,800,38,2
11,800,106,7
12,800,106,7
13,800,98,6
14,800,38,2
15,800,63,4
16,800,107,7
17,800,92,6
18,800,84,5
19,800,92,6
20,800,91,6
21,800,89,6
22,800,95,6
23,797,106,7
24,800,89,6
Hu,800,117,8
