Gen,Counter,Points,Num Alive
0,800,59,5
1,800,57,4
2,800,59,4
3,800,59,4
4,800,74,5
5,800,57,4
6,800,57,4
7,800,73,5
8,800,73,5
9,800,73,5
10,800,111,8
11,800,88,6
12,800,97,6
13,800,101,7
14,800,73,6
15,800,73,6
16,800,101,7
17,800,106,8
18,800,74,5
19,800,88,6
20,800,88,6
21,800,88,6
22,800,95,7
23,800,26,2
24,800,77,6
Hu,800,81,6
