Gen,Counter,Points,Num Alive
0,1200,89,6
1,1200,72,3
2,1200,75,3
3,994,108,7
4,1200,23,2
5,1200,25,2
6,1200,41,2
7,1200,92,3
8,1200,19,1
9,1200,110,7
10,1200,80,3
11,1200,80,5
12,1200,65,6
13,1200,80,5
14,1200,73,6
15,1200,98,7
16,1200,76,6
17,1163,92,5
18,1200,22,3
19,1200,96,6
20,1200,94,7
21,1200,83,6
22,1200,95,8
23,1200,101,6
24,1200,97,6
Hu,1200,79,4
