Gen,Counter,Points,Num Alive
0,707,0,0
1,707,0,0
2,800,61,4
3,800,103,7
4,800,89,5
5,800,85,4
6,800,58,3
7,800,78,4
8,800,78,4
9,800,87,6
10,800,87,6
11,800,68,4
12,800,100,8
13,800,71,6
14,800,71,6
15,800,76,5
16,800,76,5
17,800,91,5
18,800,76,5
19,800,76,5
20,800,76,5
21,800,76,5
22,800,58,7
23,800,76,5
24,800,45,3
25,800,91,4
