Gen,Counter,Points,Num Alive
0,800,81,6
1,800,79,6
2,800,49,3
3,800,87,6
4,800,80,7
5,800,79,6
6,800,79,6
7,800,36,2
8,800,36,2
9,800,36,2
10,800,70,5
11,800,86,6
12,800,112,7
13,800,87,5
14,800,79,6
15,800,79,6
16,800,87,5
17,800,33,2
18,800,26,3
19,800,43,3
20,800,43,3
21,800,43,3
22,800,97,6
23,800,94,5
24,800,65,4
Hu,634,99,6
