Gen,Counter,Points
0,0,0
0,1200,47
1,1200,30
2,1200,56
3,1200,34
4,1172,38
5,1200,25
6,1200,25
7,371,11
8,1200,25
9,527,18
10,615,22
11,233,8
12,233,8
13,1200,27
14,1200,27
15,1200,35
16,676,22
17,233,8
18,318,13
19,1200,22
20,1200,23
21,1128,47
22,1200,31
23,1200,23
24,1200,31
25,1200,24
