Gen,Counter,Points,Num Alive
0,800,104,5
1,800,104,5
2,800,66,4
3,800,56,5
4,800,45,3
5,800,77,4
6,800,75,3
7,800,65,3
8,800,65,3
9,800,59,3
10,800,110,7
11,800,70,3
12,800,53,4
13,800,41,4
14,800,41,4
15,800,62,4
16,800,62,4
17,800,69,3
18,800,62,4
19,800,62,4
20,800,62,4
21,800,62,4
22,800,61,6
23,800,62,4
24,800,86,6
Hu,800,67,4
